pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,0.2,0.2,0.0,0.0,0.0345954825,0.0092342774,4774535.3,20.0,150,2021-07-26 15:55:43.710079
10.0,0.2,0.2,0.0,0.0,0.0329591057,0.0092456285,4570945.5,20.0,150,2021-07-26 15:55:43.870168
10.0,0.2,0.2,0.0,0.0,0.0330814737,0.0093135603,4601223.6,20.0,150,2021-07-26 15:55:44.264497
10.0,0.2,0.2,0.0,0.0,0.0334298499,0.0094359773,4670452.9,20.0,150,2021-07-26 15:55:45.266719
10.0,0.2,0.2,0.0,0.0,0.0339977592,0.0096280724,4729064.3,20.0,150,2021-07-26 15:55:46.169024
10.0,0.2,0.2,0.0,0.0,0.0344026785,0.0097152137,4766874.1,20.0,150,2021-07-26 15:55:46.591193
10.0,0.2,0.2,0.0,0.0,0.0346281385,0.0097850665,4797532.8,20.0,150,2021-07-26 15:55:47.073487
10.0,0.2,0.2,0.0,0.0,0.0332348440,0.0099076581,4616332.6,20.0,150,2021-07-26 15:55:47.971664
10.0,0.2,0.2,0.0,0.0,0.0335104323,0.0100491099,4662062.8,20.0,150,2021-07-26 15:55:48.669534
10.0,0.4,85.1,90.0,0.0,0.0417696249,0.0095032613,4516640.1,20.0,150,2021-07-26 15:55:49.195730
10.0,0.4,86.3,91.3,0.0,0.0421592256,0.0095711844,4546844.3,20.0,150,2021-07-26 15:55:49.569432
10.0,0.5,87.3,92.4,0.0,0.0425298913,0.0087341457,4365013.2,20.0,150,2021-07-26 15:55:50.504658
10.0,0.4,89.6,94.8,0.0,0.0417285132,0.0088762145,4453620.9,20.0,150,2021-07-26 15:55:51.177052
10.0,0.5,91.4,96.7,0.0,0.0421920858,0.0089639176,4506062.2,20.0,150,2021-07-26 15:55:52.385746
10.0,0.5,94.3,99.9,0.0,0.0423266280,0.0086112825,4476996.5,20.0,150,2021-07-26 15:55:52.807807
10.0,0.5,95.3,100.9,0.0,0.0426247543,0.0086591196,4516254.4,20.0,150,2021-07-26 15:55:53.463500
10.0,0.5,97.1,103.0,0.0,0.1850192116,0.0069432320,5471818.9,20.0,150,2021-07-26 15:55:54.309282
10.0,2.3,391.7,421.3,0.0,0.1872517641,0.0070175710,5521083.3,20.0,150,2021-07-26 15:55:54.506352
10.0,2.3,393.9,423.6,0.0,0.1881561199,0.0070474260,5544829.5,20.0,150,2021-07-26 15:55:54.875775
10.0,2.3,398.2,428.3,0.0,0.1921578944,0.0071937156,5662142.5,20.0,150,2021-07-26 15:55:55.701400
10.0,2.3,406.6,438.3,0.0,0.1944837665,0.0072701445,5738626.4,20.0,150,2021-07-26 15:55:56.424059
10.0,2.4,414.1,445.3,0.0,0.1984450845,0.0074044922,5855641.8,20.0,150,2021-07-26 15:55:57.469833
10.0,2.4,425.7,458.9,0.0,0.2021496095,0.0077494635,6019356.2,20.0,150,2021-07-26 15:55:58.268481
10.0,2.5,434.2,469.1,0.0,0.2062245871,0.0078616214,6139368.0,20.0,150,2021-07-26 15:55:59.111363
10.0,2.5,442.7,1135.0,0.0,0.3593636325,0.0079161140,6958244.0,20.0,150,2021-07-26 15:55:59.874386
10.0,3.2,1054.4,1140.2,0.0,0.3642710973,0.0080326311,7047477.2,20.0,150,2021-07-26 15:56:00.608684
10.0,3.3,1069.3,1156.3,0.0,0.3676813508,0.0080941708,7090490.1,20.0,150,2021-07-26 15:56:00.766844
10.0,3.3,1075.8,1159.4,0.0,0.3707910187,0.0082223542,7062538.3,20.0,150,2021-07-26 15:56:01.770219
10.0,3.3,1067.4,1154.5,0.0,0.3760371880,0.0083118930,7090448.2,20.0,150,2021-07-26 15:56:02.964281
10.0,3.4,1071.0,1159.7,0.0,0.3789705239,0.0079749575,7043288.2,20.0,150,2021-07-26 15:56:03.571771
10.0,4.2,2119.5,2312.9,0.0,0.6302392380,0.0071377600,7103885.4,20.0,150,2021-07-26 15:56:04.339498
10.0,4.2,2150.6,2343.6,0.0,0.6388077602,0.0072245903,7077715.3,20.0,150,2021-07-26 15:56:04.768834
10.0,4.3,2154.8,2348.1,0.0,0.6483631238,0.0073248272,7071778.1,20.0,150,2021-07-26 15:56:05.965378
10.0,4.2,2203.9,2401.9,0.0,0.6418941874,0.0067718469,6824735.7,20.0,150,2021-07-26 15:56:06.808161
10.0,4.3,2230.8,2431.0,0.0,0.6478471171,0.0068154580,6907654.2,20.0,150,2021-07-26 15:56:07.275995
10.0,4.4,2250.0,2455.9,0.0,0.6425140294,0.0068762020,7001712.8,20.0,150,2021-07-26 15:56:08.312791
10.0,4.3,2287.6,2492.9,0.0,0.6461004564,0.0068987307,6976159.2,20.0,150,2021-07-26 15:56:09.005521
10.0,4.3,2314.5,3128.3,0.0,0.7476756648,0.0067082884,6854481.0,20.0,150,2021-07-26 15:56:09.301047
10.0,4.5,2878.4,3144.6,0.0,0.7503531376,0.0067349172,6854206.5,20.0,150,2021-07-26 15:56:09.503496
10.0,4.5,2888.5,3155.5,0.0,0.7521232941,0.0067525222,6872393.1,20.0,150,2021-07-26 15:56:10.104985
10.0,4.5,2890.4,3162.2,0.0,0.7608495427,0.0068409899,6871683.0,20.0,150,2021-07-26 15:56:11.093246
10.0,4.5,2989.4,3265.6,0.0,0.7627576255,0.0069015903,6850736.2,20.0,150,2021-07-26 15:56:11.448547
10.0,4.5,2958.7,3240.2,0.0,0.7587296091,0.0069816535,6747196.9,20.0,150,2021-07-26 15:56:12.712093
10.0,4.4,2942.9,3214.8,0.0,0.7576695602,0.0070357073,6715540.7,20.0,150,2021-07-26 15:56:13.007563
10.0,4.4,2952.9,3229.4,0.0,0.7606506408,0.0070956883,6646682.6,20.0,150,2021-07-26 15:56:14.003301
10.0,4.3,2871.0,3143.9,0.0,0.7610122797,0.0049314096,6140125.4,20.0,150,2021-07-26 15:56:14.269195
10.0,5.1,3648.4,3992.5,0.0,1.1297076347,0.0047523185,8421115.2,20.0,150,2021-07-26 15:56:14.469376
10.0,5.1,3657.3,4002.4,0.0,1.1279031238,0.0038731648,8011467.7,20.0,150,2021-07-26 15:56:14.691408
10.0,5.1,3666.3,4012.0,0.0,1.1293669330,0.0038890271,7437822.7,20.0,150,2021-07-26 15:56:15.373970
10.0,5.2,3738.3,4162.0,0.0,1.1438050253,0.0028809009,6518485.7,20.0,150,2021-07-26 15:56:16.008420
10.0,5.3,3803.7,4162.8,0.0,1.1519379724,0.0019694579,6357264.4,20.0,150,2021-07-26 15:56:16.269229
10.0,5.4,3819.1,4184.5,0.0,1.1587625197,0.0000000000,5914950.0,20.0,150,2021-07-26 15:56:17.818099
10.0,5.5,3849.9,4213.7,0.0,1.1868004525,0.0000000000,5900621.2,20.0,150,2021-07-26 15:56:18.272486
10.0,5.4,3873.0,4239.0,0.0,1.1867978967,0.0000000000,5870444.9,20.0,150,2021-07-26 15:56:19.215649
10.0,5.2,3914.0,5512.4,0.0,1.3276564174,0.0000000000,7402395.0,20.0,150,2021-07-26 15:56:19.421586
10.0,5.8,5049.1,5530.6,0.0,1.3294369461,0.0000000000,7429902.6,20.0,150,2021-07-26 15:56:19.768359
10.0,5.8,5083.3,5576.6,0.0,1.3261422331,0.0000000000,7401332.2,20.0,150,2021-07-26 15:56:20.371806
10.0,5.8,5134.1,5624.0,0.0,1.3276054604,0.0000000000,7395397.1,20.0,150,2021-07-26 15:56:21.203574
10.0,5.8,5201.6,5697.8,0.0,1.3220937820,0.0000000000,7354856.3,20.0,150,2021-07-26 15:56:22.206733
10.0,5.7,5286.3,5790.6,0.0,1.3162076297,0.0000000000,7327206.3,20.0,150,2021-07-26 15:56:22.466313
10.0,5.8,5372.9,5892.2,0.0,1.4135431789,0.0000000000,8470192.3,20.0,150,2021-07-26 15:56:23.406194
10.0,6.1,5603.7,6138.0,0.0,1.4124567202,0.0000000000,8461308.7,20.0,150,2021-07-26 15:56:24.667315
10.0,7.3,5647.6,6192.8,0.0,1.5893956298,0.0000000000,10228312.6,20.0,150,2021-07-26 15:56:25.190776
10.0,7.4,5703.8,6246.4,0.0,1.5960466193,0.0000000000,10225082.0,20.0,150,2021-07-26 15:56:25.571137
10.0,7.4,5735.8,6289.7,0.0,1.6237619467,0.0000000000,10623301.7,20.0,150,2021-07-26 15:56:26.567114
10.0,7.5,5815.5,6376.4,0.0,1.6142462414,0.0000000000,10582414.2,20.0,150,2021-07-26 15:56:27.609132
10.0,7.5,5848.8,6412.6,0.0,1.6460676043,0.0000000000,10425399.5,20.0,150,2021-07-26 15:56:28.610228
10.0,7.2,5840.1,6396.5,0.0,1.6603608865,0.0000000000,10906410.6,20.0,150,2021-07-26 15:56:28.903781
10.0,7.2,5859.5,6417.6,0.0,1.6640321425,0.0000000000,10876696.7,20.0,150,2021-07-26 15:56:29.406389
10.0,7.7,6605.9,7229.4,0.0,1.8374531222,0.0000000000,12334448.9,20.0,150,2021-07-26 15:56:30.327232
10.0,7.7,6717.6,7241.4,0.0,1.8672085749,0.0000000000,12226328.9,20.0,150,2021-07-26 15:56:31.265815
10.0,7.6,6611.3,7236.3,0.0,1.8535993923,0.0000000000,12205749.3,20.0,150,2021-07-26 15:56:31.570545
10.0,7.6,6586.8,7218.9,0.0,1.8494479638,0.0000000000,12281457.7,20.0,150,2021-07-26 15:56:31.970262
10.0,7.6,6662.5,7292.8,0.0,1.8520196248,0.0000000000,12134171.8,20.0,150,2021-07-26 15:56:32.670003
10.0,7.4,6648.1,7284.7,0.0,1.8477858118,0.0000000000,12130630.9,20.0,150,2021-07-26 15:56:33.367547
10.0,8.3,6865.7,7515.2,0.0,2.0960586440,0.0000000000,12521345.7,20.0,150,2021-07-26 15:56:34.269828
10.0,8.2,6738.1,7382.4,0.0,2.0891681522,0.0000000000,12271278.5,20.0,150,2021-07-26 15:56:36.206157
10.0,7.9,6821.5,7466.4,0.0,2.1353096194,0.0000000000,12581258.6,20.0,150,2021-07-26 15:56:37.002137
10.0,8.0,6889.6,7541.0,0.0,2.1552704468,0.0000000000,12492642.3,20.0,150,2021-07-26 15:56:37.273674
10.0,8.0,6921.4,7576.3,0.0,2.1491440292,0.0000000000,12497509.7,20.0,150,2021-07-26 15:56:37.408600
10.0,8.1,7727.9,8456.7,0.0,2.2371862229,0.0000000000,13105507.6,20.0,150,2021-07-26 15:56:37.477170
