pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,655.8,17391.3,12677.1,72.8,1.0676477426,1.1646254234,75535949.0,20.0,9000,2021-09-06 14:02:27.805035
10.0,655.8,17390.8,12676.7,72.8,1.0665659976,1.1632228155,75472993.2,20.0,9000,2021-09-06 14:02:27.864968
10.0,655.8,17390.2,12676.3,72.8,1.0661847534,1.1614963439,75232318.2,20.0,9000,2021-09-06 14:02:27.917322
10.0,652.9,17389.7,12675.9,72.8,1.0657167185,1.1619189438,74999114.1,20.0,9000,2021-09-06 14:02:27.970290
10.0,652.9,17388.8,12675.3,72.8,1.0656696165,1.1618717605,74996129.6,20.0,9000,2021-09-06 14:02:28.067614
10.0,652.9,17344.9,12648.0,72.8,1.0656225145,1.1618245771,74993176.1,20.0,9000,2021-09-06 14:02:28.158573
10.0,652.9,17344.4,12647.8,72.8,1.0655997072,1.1641631944,75120044.4,20.0,9000,2021-09-06 14:02:28.250110
10.0,652.9,17368.3,12665.1,72.8,1.0647467935,1.1641065744,75116531.3,20.0,9000,2021-09-06 14:02:28.439373
10.0,652.8,17365.8,12663.6,72.8,1.0644797936,1.1662496770,74993900.8,20.0,9000,2021-09-06 14:02:28.838973
10.0,650.3,17325.7,12634.2,72.8,1.0638400667,1.1687850494,74831283.1,20.0,9000,2021-09-06 14:02:29.043612
10.0,650.3,17323.5,12632.6,72.8,1.0637795779,1.1687244561,74829821.9,20.0,9000,2021-09-06 14:02:29.136803
10.0,650.3,17321.8,12631.3,72.8,1.0637314842,1.1686459827,74822049.7,20.0,9000,2021-09-06 14:02:29.438447
10.0,650.2,17297.6,12615.7,72.8,1.0634994449,1.1684433426,74809489.7,20.0,9000,2021-09-06 14:02:29.744135
10.0,650.1,17293.4,12612.6,72.8,1.0634002827,1.1683435126,74805914.5,20.0,9000,2021-09-06 14:02:29.860199
