pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,109.4,8789.1,7144.9,7.8,0.5712823770,0.1434107396,15436770.8,20.0,13000,2021-09-06 15:46:59.014383
10.0,109.4,8788.9,7144.8,7.8,0.5640753082,0.1415800062,15416806.6,20.0,13000,2021-09-06 15:46:59.060501
10.0,109.4,8788.7,7144.7,7.8,0.5640740560,0.1415776458,15416809.1,20.0,13000,2021-09-06 15:46:59.110719
10.0,109.4,8621.3,7009.1,7.8,0.5640726994,0.1415751410,15416811.9,20.0,13000,2021-09-06 15:46:59.166498
10.0,109.4,8621.1,7008.9,7.8,0.5640700123,0.1415702275,15416817.2,20.0,13000,2021-09-06 15:46:59.265972
10.0,109.4,8621.0,7008.9,7.8,0.5640678470,0.1415660848,15416821.7,20.0,13000,2021-09-06 15:46:59.353305
10.0,109.4,8620.9,7008.7,7.8,0.5635385701,0.1413063110,15400556.4,20.0,13000,2021-09-06 15:46:59.403508
10.0,109.4,8620.8,7008.7,7.8,0.5601075191,0.1413866405,15423122.1,20.0,13000,2021-09-06 15:46:59.537770
10.0,105.7,8603.4,6994.5,7.8,0.5600819024,0.1413637724,15422587.8,20.0,13000,2021-09-06 15:46:59.747320
10.0,105.7,8614.7,7003.7,7.8,0.5600777932,0.1413603383,15422507.0,20.0,13000,2021-09-06 15:46:59.790700
10.0,105.7,8614.3,7003.4,7.8,0.5600638045,0.1413477725,15422209.5,20.0,13000,2021-09-06 15:47:00.236572
10.0,102.6,8495.2,6778.3,7.8,0.5436832776,0.1383904869,14631830.8,20.0,13000,2021-09-06 15:47:00.945265
10.0,99.2,8334.5,6777.6,7.8,0.5436710375,0.1383794821,14631726.2,20.0,13000,2021-09-06 15:47:01.038930
10.0,98.6,8333.9,6777.2,7.8,0.5389430596,0.1384342310,14624731.1,20.0,13000,2021-09-06 15:47:01.346699
10.0,98.6,8331.7,6775.4,7.8,0.5389243497,0.1384246311,14624508.9,20.0,13000,2021-09-06 15:47:01.539702
10.0,96.8,8330.6,6774.4,7.8,0.5329641395,0.1344203068,14593236.4,20.0,13000,2021-09-06 15:47:01.855462
10.0,96.8,8315.1,6761.8,7.8,0.5290383947,0.1346117304,14551477.5,20.0,13000,2021-09-06 15:47:01.966331
10.0,95.2,8314.7,6761.2,7.8,0.5290250357,0.1346040277,14551140.0,20.0,13000,2021-09-06 15:47:02.135808
10.0,95.2,8313.5,6760.5,7.8,0.5290077803,0.1345939983,14550693.7,20.0,13000,2021-09-06 15:47:02.240158
10.0,94.6,8312.7,6759.9,7.8,0.5191898389,0.1325378944,14543730.4,20.0,13000,2021-09-06 15:47:02.378524
10.0,94.6,8311.5,6758.9,7.8,0.5144501477,0.1306640175,14316556.5,20.0,13000,2021-09-06 15:47:02.537336
10.0,94.6,8310.6,6758.1,7.8,0.5144264664,0.1306479724,14315597.0,20.0,13000,2021-09-06 15:47:02.647317
10.0,110.9,8352.7,6769.2,7.8,0.5136474725,0.1288784746,14724802.9,20.0,13000,2021-09-06 15:47:02.698555
10.0,110.9,8352.7,6769.1,7.8,0.5136436693,0.1288766521,14724687.7,20.0,13000,2021-09-06 15:47:02.764183
10.0,110.9,8352.6,6769.1,7.8,0.5136402342,0.1288749192,14724578.2,20.0,13000,2021-09-06 15:47:02.840611
10.0,110.9,8352.2,6562.0,7.8,0.5136250830,0.1289403882,14738277.8,20.0,13000,2021-09-06 15:47:03.144091
10.0,111.1,8093.4,6561.8,7.8,0.5140372597,0.1289358830,14737868.0,20.0,13000,2021-09-06 15:47:03.256602
10.0,111.1,8093.2,6561.6,7.8,0.5135095885,0.1288265435,14712666.6,20.0,13000,2021-09-06 15:47:04.253558
10.0,110.7,7940.4,6438.0,7.8,0.5089728085,0.1267007850,14710414.1,20.0,13000,2021-09-06 15:47:04.438339
10.0,110.7,7940.2,6437.8,7.8,0.5089301030,0.1266916042,14709086.3,20.0,13000,2021-09-06 15:47:04.561797
10.0,110.4,7940.1,6437.7,7.8,0.5083508386,0.1266166418,14687702.9,20.0,13000,2021-09-06 15:47:04.651918
10.0,110.4,7939.9,6437.6,7.8,0.5083172114,0.1266092735,14685940.7,20.0,13000,2021-09-06 15:47:04.846884
10.0,110.4,7787.3,6313.0,7.8,0.5082390283,0.1265943707,14684013.2,20.0,13000,2021-09-06 15:47:05.053885
10.0,110.2,7772.5,6301.0,7.8,0.5040300794,0.1247053744,14681214.6,20.0,13000,2021-09-06 15:47:05.165894
10.0,110.2,7760.1,6291.0,7.8,0.5040169088,0.1247011086,14680471.2,20.0,13000,2021-09-06 15:47:05.246222
10.0,110.2,7759.8,6290.7,7.8,0.5039793585,0.1246951253,14679507.5,20.0,13000,2021-09-06 15:47:05.352001
10.0,110.1,7759.4,6290.2,7.8,0.5039474127,0.1246889759,14678479.5,20.0,13000,2021-09-06 15:47:05.465979
10.0,110.1,7758.9,6289.6,7.8,0.4991149936,0.1240430817,14691942.5,20.0,13000,2021-09-06 15:47:05.752389
10.0,110.1,7757.9,6289.2,7.8,0.4991026636,0.1240405886,14691538.7,20.0,13000,2021-09-06 15:47:05.837584
10.0,110.1,7757.5,6288.9,7.8,0.4990782840,0.1240357134,14690721.8,20.0,13000,2021-09-06 15:47:05.883528
10.0,110.1,7757.4,6288.8,7.8,0.4990659540,0.1240333311,14690336.3,20.0,13000,2021-09-06 15:47:05.925870
10.0,110.1,7757.2,6203.6,7.8,0.4990541845,0.1240310043,14689950.8,20.0,13000,2021-09-06 15:47:06.000103
10.0,110.0,7649.9,6203.3,7.8,0.4938996023,0.1197308747,14682187.4,20.0,13000,2021-09-06 15:47:06.135683
10.0,110.0,7499.4,6080.9,7.8,0.4938452384,0.1197201269,14679645.0,20.0,13000,2021-09-06 15:47:06.347400
10.0,110.0,7498.8,6080.5,7.8,0.4938071276,0.1197099332,14678699.6,20.0,13000,2021-09-06 15:47:06.542283
