pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,292.8,26101.5,21751.5,8.3,1.6317107684,0.0080304691,41076754.7,20.0,15000,2021-09-06 13:51:03.859257
10.0,292.8,26099.5,21749.9,8.3,1.6317000729,0.0080304691,41076483.9,20.0,15000,2021-09-06 13:51:03.909880
10.0,292.8,26019.5,21682.7,8.3,1.6316897888,0.0080304691,41076197.1,20.0,15000,2021-09-06 13:51:03.964334
10.0,292.8,26017.5,21681.0,8.3,1.6316782706,0.0080304691,41075798.9,20.0,15000,2021-09-06 13:51:04.042439
10.0,292.8,26014.7,21678.7,8.3,1.6316626387,0.0080304691,41031913.6,20.0,15000,2021-09-06 13:51:04.144313
10.0,292.8,26011.0,21675.6,8.3,1.6299993543,0.0080304691,41031411.6,20.0,15000,2021-09-06 13:51:04.192943
10.0,292.8,26009.2,21674.1,8.3,1.6299805470,0.0080304691,41030878.9,20.0,15000,2021-09-06 13:51:04.246583
10.0,292.8,26007.3,21672.5,8.3,1.6299597807,0.0080304691,41030376.9,20.0,15000,2021-09-06 13:51:04.295945
10.0,292.8,26005.4,21671.0,8.3,1.6299401898,0.0080304691,41029864.7,20.0,15000,2021-09-06 13:51:04.346065
10.0,292.8,26003.6,21669.4,8.3,1.6282977879,0.0080304691,40987807.7,20.0,15000,2021-09-06 13:51:04.395709
10.0,292.8,26001.8,21667.9,8.3,1.6282686755,0.0080304691,40987036.8,20.0,15000,2021-09-06 13:51:04.448374
10.0,292.8,25999.9,21666.3,8.3,1.6282383986,0.0080304691,40986265.8,20.0,15000,2021-09-06 13:51:04.499362
10.0,292.8,25953.1,21627.3,8.3,1.6282087040,0.0080304691,40985494.9,20.0,15000,2021-09-06 13:51:04.546603
10.0,292.8,25951.2,21625.7,8.3,1.6281813383,0.0080304691,40984769.3,20.0,15000,2021-09-06 13:51:04.596548
10.0,292.8,25949.1,21624.0,8.3,1.6281522259,0.0080304691,40984013.5,20.0,15000,2021-09-06 13:51:04.648318
10.0,292.8,25947.0,21622.2,8.3,1.6281219490,0.0080304691,40983242.6,20.0,15000,2021-09-06 13:51:04.693006
10.0,292.8,25945.1,21620.8,8.3,1.6280969124,0.0080304691,40982592.6,20.0,15000,2021-09-06 13:51:04.739456
10.0,292.9,25943.2,21619.1,8.3,1.6224988277,0.0080304691,40996169.0,20.0,15000,2021-09-06 13:51:04.786830
10.0,292.8,25940.3,21616.6,8.3,1.6224675321,0.0080304691,40994408.4,20.0,15000,2021-09-06 13:51:05.040971
10.0,292.8,25930.7,21606.5,8.3,1.6223468206,0.0080304691,40992154.1,20.0,15000,2021-09-06 13:51:05.190168
10.0,292.8,25924.7,21603.7,8.3,1.6223163379,0.0080304691,40991252.3,20.0,15000,2021-09-06 13:51:05.245936
10.0,292.8,25919.6,21483.7,8.3,1.6221879041,0.0081494412,41167925.8,20.0,15000,2021-09-06 13:51:05.739737
10.0,293.9,25644.7,21366.9,8.3,1.6197221551,0.0081494412,41159730.0,20.0,15000,2021-09-06 13:51:06.051552
10.0,293.8,25586.2,21317.7,8.5,1.6194903385,0.0081494412,41153532.7,20.0,15000,2021-09-06 13:51:06.439142
10.0,293.8,25417.3,21180.4,8.5,1.6171357600,0.0081494412,41182966.4,20.0,15000,2021-09-06 13:51:06.937202
10.0,291.2,25342.7,21115.9,8.5,1.6116649783,0.0081494412,40964910.6,20.0,15000,2021-09-06 13:51:07.058312
10.0,291.2,25337.3,21112.3,8.5,1.6064227318,0.0082225599,40773528.2,20.0,15000,2021-09-06 13:51:07.153979
10.0,289.0,25191.1,20993.2,8.5,1.6064053097,0.0082229675,40773021.9,20.0,15000,2021-09-06 13:51:07.196531
10.0,289.0,25145.7,20955.4,8.5,1.6009263927,0.0082236120,40527849.7,20.0,15000,2021-09-06 13:51:07.270390
10.0,289.0,25013.6,20845.7,8.5,1.6009136779,0.0082241238,40527352.9,20.0,15000,2021-09-06 13:51:07.336007
10.0,289.0,25010.9,20843.6,8.5,1.6008986084,0.0082247399,40526699.7,20.0,15000,2021-09-06 13:51:07.438085
10.0,289.0,25006.8,20840.1,8.5,1.6008741206,0.0082257256,40525807.3,20.0,15000,2021-09-06 13:51:07.535166
10.0,298.7,24782.2,20620.8,8.5,1.5893108200,0.0082266354,40518276.0,20.0,15000,2021-09-06 13:51:07.586234
10.0,298.7,24782.6,20621.3,8.5,1.5866661596,0.0082273178,40542353.8,20.0,15000,2021-09-06 13:51:07.659905
10.0,298.6,24783.3,20621.7,8.5,1.5866851058,0.0082278581,40542777.8,20.0,15000,2021-09-06 13:51:07.719492
10.0,299.1,24693.0,20546.3,8.5,1.5837262005,0.0082284078,40377890.0,20.0,15000,2021-09-06 13:51:07.841170
10.0,299.5,24769.7,20610.0,8.5,1.5852480721,0.0083110933,40421858.6,20.0,15000,2021-09-06 13:51:07.893183
10.0,299.5,24769.7,20610.0,8.5,1.5852567255,0.0083110933,40421984.9,20.0,15000,2021-09-06 13:51:07.945577
10.0,299.5,24769.7,20610.0,8.5,1.5852645776,0.0083110933,40422103.9,20.0,15000,2021-09-06 13:51:08.001946
10.0,299.5,24769.7,20610.0,8.5,1.5835544454,0.0083110933,40406417.1,20.0,15000,2021-09-06 13:51:08.138359
10.0,298.8,24769.7,20610.0,8.5,1.5814623710,0.0083110933,40441684.6,20.0,15000,2021-09-06 13:51:08.543658
10.0,299.2,24809.9,20643.5,8.5,1.5787627400,0.0083110933,40245033.1,20.0,15000,2021-09-06 13:51:08.870188
10.0,297.3,24731.4,20578.1,8.5,1.5786507428,0.0083110933,40242317.7,20.0,15000,2021-09-06 13:51:09.039260
10.0,297.3,24730.9,20577.6,8.5,1.5770644753,0.0083110933,40198515.7,20.0,15000,2021-09-06 13:51:09.091437
10.0,296.8,24730.6,20577.4,8.5,1.5770088024,0.0083110933,40197114.0,20.0,15000,2021-09-06 13:51:09.166514
10.0,296.8,24730.4,20577.2,8.5,1.5769704821,0.0083110933,40196222.1,20.0,15000,2021-09-06 13:51:09.219336
10.0,296.8,24730.1,20577.0,8.5,1.5769336079,0.0083110933,40195239.1,20.0,15000,2021-09-06 13:51:09.270799
10.0,296.8,24729.9,20576.8,8.5,1.5768996258,0.0083110933,40194365.3,20.0,15000,2021-09-06 13:51:09.323336
10.0,296.8,24729.7,20576.6,8.5,1.5768027405,0.0083110933,40191926.0,20.0,15000,2021-09-06 13:51:09.451658
10.0,296.8,24729.2,20576.2,8.5,1.5767644202,0.0083110933,40093664.6,20.0,15000,2021-09-06 13:51:09.505034
10.0,295.8,24728.9,20576.0,8.5,1.5735338630,0.0083110933,40092091.0,20.0,15000,2021-09-06 13:51:09.573878
10.0,295.8,24728.6,20575.7,8.5,1.5734594043,0.0083110933,40090080.2,20.0,15000,2021-09-06 13:51:09.628059
10.0,295.8,24728.4,20575.5,8.5,1.5734011323,0.0083110933,40088594.0,20.0,15000,2021-09-06 13:51:09.677884
10.0,295.8,24728.2,20575.4,8.5,1.5733471767,0.0083110933,40087107.8,20.0,15000,2021-09-06 13:51:09.726211
10.0,295.8,24728.0,20575.2,8.5,1.5733007749,0.0083110933,40085883.9,20.0,15000,2021-09-06 13:51:09.769787
10.0,295.8,24727.8,20575.1,8.5,1.5732457403,0.0083110933,40084310.3,20.0,15000,2021-09-06 13:51:09.826123
10.0,295.8,24727.6,20574.9,8.5,1.5731928638,0.0083110933,40082882.3,20.0,15000,2021-09-06 13:51:09.875406
10.0,295.7,24727.4,20574.7,8.5,1.5731356709,0.0083110933,40081337.9,20.0,15000,2021-09-06 13:51:09.925918
10.0,295.7,24727.2,20574.5,8.5,1.5730817154,0.0083110933,40079880.8,20.0,15000,2021-09-06 13:51:09.977437
10.0,295.7,24727.0,20574.3,8.5,1.5730245225,0.0083110933,40078365.5,20.0,15000,2021-09-06 13:51:10.026737
10.0,295.7,24726.7,20574.2,8.5,1.5729694878,0.0083110933,40076850.1,20.0,15000,2021-09-06 13:51:10.080350
10.0,295.7,24726.5,20574.0,8.5,1.5729133740,0.0083110933,40075334.8,20.0,15000,2021-09-06 13:51:10.133081
10.0,295.7,24726.3,20573.8,8.5,1.5728540229,0.0083110933,40073673.7,20.0,15000,2021-09-06 13:51:10.238317
10.0,295.6,24725.8,20573.4,8.5,1.5727439536,0.0083110933,40070847.0,20.0,15000,2021-09-06 13:51:10.285571
10.0,295.6,24725.6,20573.2,8.5,1.5726899980,0.0083110933,40069273.4,20.0,15000,2021-09-06 13:51:10.339722
10.0,295.6,24725.4,20573.1,8.5,1.5726295678,0.0083110933,40067728.9,20.0,15000,2021-09-06 13:51:10.394945
10.0,295.6,24725.2,20572.9,8.5,1.5725734540,0.0083110933,40066242.7,20.0,15000,2021-09-06 13:51:10.443546
10.0,295.6,24725.0,20572.7,8.5,1.5725194984,0.0083110933,40064727.4,20.0,15000,2021-09-06 13:51:10.495657
10.0,295.5,24724.8,20572.5,8.5,1.5724633846,0.0083110933,40063182.9,20.0,15000,2021-09-06 13:51:10.550158
10.0,295.5,24724.5,20572.3,8.5,1.5724094291,0.0083110933,40061755.0,20.0,15000,2021-09-06 13:51:10.596235
10.0,295.5,24724.3,20572.2,8.5,1.5723565526,0.0083110933,40060356.2,20.0,15000,2021-09-06 13:51:10.643420
10.0,295.5,24724.1,20572.0,8.5,1.5723058344,0.0083110933,40058957.4,20.0,15000,2021-09-06 13:51:10.695399
10.0,295.5,24723.9,20571.8,8.5,1.5722529579,0.0083110933,40057500.4,20.0,15000,2021-09-06 13:51:10.744480
10.0,295.5,24723.7,20571.6,8.5,1.5721936068,0.0083110933,40055955.9,20.0,15000,2021-09-06 13:51:10.797249
10.0,295.5,24723.5,20571.5,8.5,1.5721374930,0.0083110933,40054294.8,20.0,15000,2021-09-06 13:51:10.891025
10.0,295.4,24723.1,20571.1,8.5,1.5641427696,0.0083947430,39788388.8,20.0,15000,2021-09-06 13:51:10.945299
10.0,295.1,24722.9,20570.9,8.4,1.5584240134,0.0083953131,39559351.9,20.0,15000,2021-09-06 13:51:11.043647
10.0,295.1,24681.3,20536.3,8.4,1.5583363222,0.0083961925,39558046.0,20.0,15000,2021-09-06 13:51:11.091038
10.0,294.4,24680.9,20536.0,8.4,1.5565798642,0.0083966177,39500443.2,20.0,15000,2021-09-06 13:51:11.137848
10.0,294.4,24601.4,20469.8,8.4,1.5506723324,0.0083971106,39524335.8,20.0,15000,2021-09-06 13:51:11.188736
10.0,294.5,24601.0,20469.4,8.4,1.5506236869,0.0083976131,39523024.4,20.0,15000,2021-09-06 13:51:11.238554
10.0,294.5,24600.6,20469.0,8.4,1.5505769125,0.0083980866,39521764.4,20.0,15000,2021-09-06 13:51:11.288051
10.0,294.5,24600.2,20468.7,8.4,1.5505320090,0.0083985505,39520530.1,20.0,15000,2021-09-06 13:51:11.337272
10.0,294.5,24599.8,20468.4,8.4,1.5504861700,0.0083990240,39519270.1,20.0,15000,2021-09-06 13:51:11.384831
10.0,294.4,24599.4,20468.1,8.4,1.5504459439,0.0083994492,39518138.7,20.0,15000,2021-09-06 13:51:11.426410
10.0,294.4,24519.6,20401.8,8.4,1.5504066534,0.0083998454,39517084.4,20.0,15000,2021-09-06 13:51:11.485617
10.0,294.4,24519.1,20401.4,8.4,1.5503514595,0.0084004156,39515567.3,20.0,15000,2021-09-06 13:51:11.529198
10.0,294.4,24518.7,20401.0,8.3,1.5503056205,0.0084008891,39514307.3,20.0,15000,2021-09-06 13:51:11.578390
10.0,294.4,24518.3,20400.7,8.3,1.5502597815,0.0084013627,39513047.3,20.0,15000,2021-09-06 13:51:11.626887
10.0,294.4,24518.0,20400.4,8.3,1.5502167490,0.0084018169,39511838.8,20.0,15000,2021-09-06 13:51:11.672244
10.0,294.3,24517.6,20399.8,8.3,1.5442323594,0.0084025706,39110877.4,20.0,15000,2021-09-06 13:51:11.756416
10.0,294.3,24516.9,20399.4,8.3,1.5441827784,0.0084030925,39109488.8,20.0,15000,2021-09-06 13:51:11.809985
10.0,294.3,24441.6,20337.3,8.3,1.5441341330,0.0084035853,39108228.9,20.0,15000,2021-09-06 13:51:11.857450
10.0,294.3,24441.2,20336.9,8.3,1.5440873585,0.0084040685,39106943.2,20.0,15000,2021-09-06 13:51:11.906821
10.0,294.3,24440.8,20336.6,8.3,1.5440433905,0.0084045227,39105683.2,20.0,15000,2021-09-06 13:51:11.956537
10.0,294.2,24440.4,20336.2,8.3,1.5439956805,0.0084050156,39104423.2,20.0,15000,2021-09-06 13:51:12.004078
10.0,294.2,24440.0,20335.9,8.3,1.5439554545,0.0084054311,39103317.5,20.0,15000,2021-09-06 13:51:12.048105
10.0,294.2,24439.6,20335.6,8.3,1.5439114865,0.0084058853,39102108.9,20.0,15000,2021-09-06 13:51:12.094094
10.0,294.2,24439.2,20335.3,8.3,1.5438637765,0.0084063782,39100797.5,20.0,15000,2021-09-06 13:51:12.146976
10.0,294.2,24438.8,20334.9,8.3,1.5438179375,0.0084068517,39099537.5,20.0,15000,2021-09-06 13:51:12.234221
10.0,294.1,24438.1,20334.3,8.3,1.5437356144,0.0084077118,39097249.0,20.0,15000,2021-09-06 13:51:12.282904
10.0,294.1,24397.1,20300.2,8.3,1.5436879045,0.0084081950,39095963.3,20.0,15000,2021-09-06 13:51:12.333591
10.0,294.1,24396.5,20299.7,8.3,1.5436448720,0.0084086395,39094754.7,20.0,15000,2021-09-06 13:51:12.441185
10.0,294.1,24352.2,20262.7,8.3,1.5434755484,0.0084104080,39090049.0,20.0,15000,2021-09-06 13:51:12.565040
10.0,320.9,24371.8,20262.5,8.3,1.5488555305,0.0110011039,40279373.1,20.0,15000,2021-09-06 13:51:12.635669
10.0,320.9,24371.2,20262.0,8.3,1.5488658400,0.0110017611,40314765.7,20.0,15000,2021-09-06 13:51:12.686941
10.0,320.9,24370.8,20261.7,8.3,1.5502814447,0.0110022732,40314684.3,20.0,15000,2021-09-06 13:51:12.738882
10.0,320.9,24370.3,20261.3,8.3,1.5502808433,0.0110027758,40314602.8,20.0,15000,2021-09-06 13:51:12.793420
10.0,320.9,24369.9,20260.9,8.3,1.5502801830,0.0110033073,40314516.8,20.0,15000,2021-09-06 13:51:12.851213
10.0,320.9,24369.4,20260.5,8.3,1.5502794991,0.0110038774,40314427.7,20.0,15000,2021-09-06 13:51:12.901357
10.0,320.9,24369.0,20260.2,8.3,1.5502789449,0.0110043316,40314355.5,20.0,15000,2021-09-06 13:51:12.955349
10.0,320.9,24326.5,20224.7,8.3,1.5502782609,0.0110048921,40314266.4,20.0,15000,2021-09-06 13:51:13.007811
10.0,320.9,24325.8,20224.2,8.3,1.5502776478,0.0110053850,40314189.6,20.0,15000,2021-09-06 13:51:13.063294
10.0,320.9,24325.2,20223.6,8.3,1.5502770346,0.0110058972,40314106.7,20.0,15000,2021-09-06 13:51:13.112160
10.0,320.9,24263.5,20171.7,8.3,1.5502764214,0.0110063900,40354950.8,20.0,15000,2021-09-06 13:51:13.168760
10.0,320.9,24262.8,20171.1,8.3,1.5518459296,0.0110985277,40354630.1,20.0,15000,2021-09-06 13:51:13.221218
10.0,320.9,24262.2,20170.5,8.3,1.5501383964,0.0110985277,40316039.4,20.0,15000,2021-09-06 13:51:13.275133
10.0,320.6,24261.5,20169.6,8.3,1.5501079983,0.0110985277,40315208.6,20.0,15000,2021-09-06 13:51:13.358058
10.0,320.5,24260.5,20169.1,8.3,1.5500904747,0.0110985277,40314724.0,20.0,15000,2021-09-06 13:51:13.408863
10.0,320.5,24259.8,20168.6,8.3,1.5500715205,0.0110985277,40314209.7,20.0,15000,2021-09-06 13:51:13.462478
10.0,320.9,24259.2,20168.0,8.3,1.5470213166,0.0110985277,40118428.5,20.0,15000,2021-09-06 13:51:13.515950
10.0,321.4,24258.5,20167.5,8.3,1.5445882322,0.0110985277,40177729.0,20.0,15000,2021-09-06 13:51:13.572118
10.0,321.4,24257.8,20166.8,8.3,1.5445677499,0.0110985277,40177176.0,20.0,15000,2021-09-06 13:51:13.663917
10.0,321.3,24256.6,20165.9,8.3,1.5415482421,0.0110985277,40213225.2,20.0,15000,2021-09-06 13:51:13.712557
10.0,321.3,24256.0,20165.4,8.3,1.5354472574,0.0110985277,40242680.6,20.0,15000,2021-09-06 13:51:13.766109
10.0,321.6,24255.4,20164.9,8.3,1.5354374282,0.0110985277,40242461.3,20.0,15000,2021-09-06 13:51:13.821570
10.0,321.6,24254.7,20164.3,8.3,1.5354268571,0.0110985277,40242229.9,20.0,15000,2021-09-06 13:51:13.875162
10.0,321.6,24254.0,20163.7,8.3,1.5354172133,0.0110985277,40242026.9,20.0,15000,2021-09-06 13:51:13.924975
10.0,321.6,24253.4,20163.2,8.3,1.5354077549,0.0110985277,40241807.6,20.0,15000,2021-09-06 13:51:13.978668
10.0,321.6,24252.7,20162.7,8.3,1.5353984820,0.0110985277,40241608.6,20.0,15000,2021-09-06 13:51:14.029328
10.0,321.6,24252.1,20162.1,8.3,1.5353747435,0.0110985277,40241092.9,20.0,15000,2021-09-06 13:51:14.161092
10.0,321.6,24250.5,20160.7,8.3,1.5337897494,0.0110985277,40204180.8,20.0,15000,2021-09-06 13:51:14.236266
10.0,321.3,24249.5,20160.0,8.3,1.5273219984,0.0110985277,40218976.5,20.0,15000,2021-09-06 13:51:14.282581
10.0,320.8,24248.9,20159.5,8.3,1.5238194418,0.0111600324,40237445.4,20.0,15000,2021-09-06 13:51:14.338752
10.0,320.8,24248.2,20158.9,8.3,1.5238077659,0.0111600324,40237261.4,20.0,15000,2021-09-06 13:51:14.391574
10.0,320.8,24247.6,20158.3,8.3,1.5237970966,0.0111600324,40061853.2,20.0,15000,2021-09-06 13:51:14.442032
10.0,319.0,24246.9,20157.8,8.3,1.5172658113,0.0111600324,40061987.8,20.0,15000,2021-09-06 13:51:14.486893
10.0,319.0,24246.3,20125.1,8.3,1.5172638456,0.0111600324,40062131.3,20.0,15000,2021-09-06 13:51:14.540451
10.0,319.1,24051.9,19995.3,8.3,1.5172548773,0.0111600324,40063058.4,20.0,15000,2021-09-06 13:51:14.847099
10.0,319.1,24048.9,19992.8,8.3,1.5188145773,0.0111600324,40112987.5,20.0,15000,2021-09-06 13:51:14.949223
10.0,319.5,24047.6,19991.8,8.3,1.5187930963,0.0111600324,40112864.0,20.0,15000,2021-09-06 13:51:15.037025
