,carga,cpu_throttled_seconds,cpu_usage_seconds,dropped_packets,file_descriptors,memory_usage_bytes,memory_working_bytes,pods,receive_packets,transmit_packets
304,5000.0,0.0,0.39772141406666667,0.0,74.45,32.0,18332025.423333332,16.0,2582.2933333333335,2117.0833333333335
305,6000.0,0.0,0.34591984466666675,0.0,83.15185185185184,32.0,11973569.351851853,16.0,2178.5333333333333,1768.6148148148147
306,7000.0,0.0,0.40980790162666664,0.0,144.43333333333334,32.0,19744166.4,16.0,2606.7066666666665,2104.5133333333333
307,8000.0,0.0,0.41752932726206893,0.0,113.76896551724137,32.0,15667582.541379312,16.0,2946.5758620689653,2457.1517241379315
308,9000.0,0.0,0.3071591659892857,0.0,104.61428571428573,32.0,8438001.335714286,16.0,2399.557142857143,1923.5892857142858
309,10000.0,0.0,0.3649132285827586,0.0,178.2344827586207,32.0,14990752.04137931,16.0,2636.7827586206895,2109.7689655172417
310,11000.0,0.0,0.264725067616,0.0,165.65600000000003,32.0,8552450.275999999,16.0,2499.448,1970.172
311,12000.0,0.0032669638925925926,0.2766013828037037,0.0,156.60740740740744,32.0,11845321.866666667,16.0,2307.822222222222,1828.9592592592594
312,13000.0,0.0,0.2074735174333333,0.0,165.475,32.0,7963507.091666666,16.0,1648.8333333333333,1284.2375
313,14000.0,0.03936970314583333,0.20339460037499993,0.0,146.08333333333331,32.0,6224145.916666667,16.0,1614.8333333333333,1231.2
314,15000.0,0.0929345835468085,0.5029820998319149,0.0,331.26808510638296,32.0,47164432.52127659,16.0,4759.546808510638,3751.26170212766
315,16000.0,0.10159059968500002,0.41884928537500005,0.8475000000000001,367.7025,32.0,47252881.33499999,16.0,3808.6349999999998,2922.0924999999997
316,17000.0,0.21085720051578952,0.6026801390385963,117.67017543859652,535.0719298245615,32.0,104892443.245614,16.0,5626.468421052633,4223.894736842104
317,18000.0,0.39598310766842104,0.5953935235877195,278.8596491228071,517.6491228070174,32.0,82502481.82105264,16.0,6321.9614035087725,4686.226315789473
318,19000.0,0.2906698181306452,0.6244647178,352.40645161290325,564.7951612903224,32.0,91800039.82741936,16.0,6442.196774193548,4729.679032258066
319,20000.0,0.6239627448412698,0.5871282979174602,620.2746031746034,561.9079365079366,32.0,109262752.24444444,16.0,6346.390476190476,4665.33492063492
320,1000.0,0.0,0.3191009879793103,0.0,14.689655172413792,33.58620689655172,4143113.531034483,17.0,1885.6724137931033,1566.9655172413793
321,2000.0,0.0,0.32298425217499993,0.0,34.607142857142854,34.0,7357182.221428571,17.0,2187.7785714285715,1806.217857142857
322,3000.0,0.0,0.30800287251071434,0.0,42.135714285714286,34.0,5869159.707142857,17.0,1885.0035714285714,1551.4892857142859
323,4000.0,0.0,0.29219472196153845,0.0,53.465384615384615,34.0,13200549.592307694,17.0,2312.1,1890.4807692307693
324,5000.0,0.0,0.3745401619142857,0.0,90.65357142857144,34.0,12767433.07142857,17.0,2653.7214285714285,2162.842857142857
325,6000.0,0.0,0.3214336760275862,0.0,83.19999999999999,34.0,10968008.282758621,17.0,2615.337931034483,2120.9206896551723
326,7000.0,0.0,0.3951098567035714,0.0,87.97857142857143,34.0,17344601.139285713,17.0,2664.535714285714,2156.032142857143
327,8000.0,0.0,0.3513153476733333,0.0,106.88333333333335,34.0,17128604.59333333,17.0,2407.0333333333333,1951.7099999999998
