pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,577.9,37578.3,31309.1,0.0,2.9802184049,0.0876852157,75348540.9,20.0,12000,2021-08-16 21:32:55.537773
10.0,577.9,37577.1,31308.1,0.0,2.9801547995,0.0876829574,75346688.5,20.0,12000,2021-08-16 21:32:55.574973
10.0,577.9,37575.9,31307.1,0.0,2.9800894751,0.0876806381,75344786.0,20.0,12000,2021-08-16 21:32:55.613038
10.0,577.8,37574.6,31306.1,0.0,2.9800241506,0.0876783188,75342883.5,20.0,12000,2021-08-16 21:32:55.651289
10.0,577.8,37573.3,31305.0,0.0,2.9799571071,0.0876759384,75340930.9,20.0,12000,2021-08-16 21:32:55.691450
10.0,577.8,37572.0,31303.9,0.0,2.9798866255,0.0876734360,75338878.2,20.0,12000,2021-08-16 21:32:55.738131
10.0,577.8,37570.5,31348.9,0.0,2.9796691847,0.0855117377,75385351.7,20.0,12000,2021-08-16 21:32:55.823183
10.0,578.0,37624.4,31347.6,0.0,2.9796004221,0.0855093573,75383399.1,20.0,12000,2021-08-16 21:32:55.861695
10.0,578.0,37622.9,31345.5,0.0,2.9794852448,0.0855052069,75379894.5,20.0,12000,2021-08-16 21:32:55.943412
10.0,578.0,37619.6,31343.5,0.0,2.9793855391,0.0855017279,75377140.9,20.0,12000,2021-08-16 21:32:55.987904
10.0,577.9,37602.6,31329.7,0.0,2.9790368573,0.0856100039,75212942.2,20.0,12000,2021-08-16 21:32:56.026454
10.0,577.9,37601.1,31328.4,0.0,2.9789698138,0.0856076236,75210989.6,20.0,12000,2021-08-16 21:32:56.066020
10.0,577.9,37599.5,31327.1,0.0,2.9789027703,0.0856052432,75209037.1,20.0,12000,2021-08-16 21:32:56.104169
10.0,577.9,37588.1,31318.2,0.0,2.9788374458,0.0856028628,75207084.5,20.0,12000,2021-08-16 21:32:56.143010
10.0,577.9,37586.6,31317.0,0.0,2.9787686833,0.0856004825,75205131.9,20.0,12000,2021-08-16 21:32:56.182328
10.0,577.9,37585.0,31315.7,0.0,2.9787016398,0.0855981021,75203179.3,20.0,12000,2021-08-16 21:32:56.221430
10.0,577.8,37583.5,31314.4,0.0,2.9786345963,0.0855957217,75201226.8,20.0,12000,2021-08-16 21:32:56.262128
10.0,576.9,37581.9,31313.0,0.0,2.9757544588,0.0855298951,75135941.0,20.0,12000,2021-08-16 21:32:56.301342
10.0,576.9,37580.4,31311.8,0.0,2.9756742251,0.0855272175,75133691.8,20.0,12000,2021-08-16 21:32:56.341080
10.0,576.9,37578.8,31310.5,0.0,2.9755919342,0.0855244713,75131384.9,20.0,12000,2021-08-16 21:32:56.379837
10.0,576.8,37577.3,31309.2,0.0,2.9755137577,0.0855218624,75129193.3,20.0,12000,2021-08-16 21:32:56.419663
10.0,576.8,37565.3,31299.3,0.0,2.9754314668,0.0855191162,75126886.5,20.0,12000,2021-08-16 21:32:56.459234
10.0,576.8,37563.7,31298.0,0.0,2.9753080303,0.0855149283,74378301.1,20.0,12000,2021-08-16 21:32:56.606392
10.0,570.5,37523.3,31264.4,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.644798
10.0,570.5,37522.1,31263.4,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.681724
10.0,570.5,37520.9,31262.3,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.718938
10.0,570.5,37465.6,31216.2,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.756738
10.0,570.5,37464.1,31215.0,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.793892
10.0,570.5,37462.6,31213.8,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.831510
10.0,570.5,37461.1,31212.5,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.869304
10.0,570.5,37513.6,31256.2,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.931878
10.0,570.5,37510.7,31253.8,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:56.969435
10.0,570.5,37509.0,31252.4,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:57.006757
10.0,570.5,37507.3,31251.0,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:57.044315
10.0,570.5,37505.6,31249.6,0.0,2.9436403543,0.0841764872,74378301.1,20.0,12000,2021-08-16 21:32:57.081548
10.0,570.5,37503.9,31248.1,0.0,2.9394631431,0.0817459477,74403203.5,20.0,12000,2021-08-16 21:32:57.123198
10.0,570.5,37502.0,31244.3,0.0,2.9394956563,0.0817462645,74404034.5,20.0,12000,2021-08-16 21:32:57.226196
10.0,570.5,37494.6,31240.3,0.0,2.9395307969,0.0817466104,74404950.4,20.0,12000,2021-08-16 21:32:57.422582
10.0,570.5,37484.7,31176.5,0.0,2.9397278467,0.0817488635,74411658.0,20.0,12000,2021-08-16 21:32:58.322101
10.0,569.6,37371.8,31138.2,0.0,2.9344976145,0.0744043254,74488861.5,20.0,12000,2021-08-16 21:32:58.449300
10.0,569.6,37367.6,31134.6,0.0,2.9344964882,0.0744278603,74553078.3,20.0,12000,2021-08-16 21:32:58.738829
10.0,566.9,37291.7,31067.5,0.0,2.9266489186,0.0744922260,74409945.3,20.0,12000,2021-08-16 21:32:59.841949
10.0,566.6,37211.2,31005.1,0.0,2.9306975928,0.0679679771,74303433.2,20.0,12000,2021-08-16 21:33:00.310405
10.0,566.6,37124.3,30935.0,0.0,2.9298004902,0.0666215400,74350790.2,20.0,12000,2021-08-16 21:33:00.428891
10.0,566.6,37121.8,30933.0,0.0,2.9297748456,0.0666214359,74350173.7,20.0,12000,2021-08-16 21:33:00.466654
10.0,566.6,37119.3,30929.4,0.0,2.9264659054,0.0666583724,74144760.6,20.0,12000,2021-08-16 21:33:00.727906
10.0,564.5,36981.3,30815.8,0.0,2.9263339232,0.0666582434,74143833.8,20.0,12000,2021-08-16 21:33:00.805485
10.0,564.5,36975.2,30810.8,0.0,2.9262563458,0.0666580225,74142004.0,20.0,12000,2021-08-16 21:33:00.843369
10.0,564.5,36972.4,30808.4,0.0,2.9262180609,0.0666579135,74141101.0,20.0,12000,2021-08-16 21:33:00.880593
10.0,564.5,36969.4,30806.0,0.0,2.9261807835,0.0666578074,74140221.8,20.0,12000,2021-08-16 21:33:00.917786
10.0,564.5,36966.6,30803.6,0.0,2.9261435060,0.0666577012,74139342.5,20.0,12000,2021-08-16 21:33:00.955234
10.0,564.5,36963.7,30801.2,0.0,2.9261052211,0.0666575922,74138439.5,20.0,12000,2021-08-16 21:33:00.992445
10.0,564.5,36960.8,30798.8,0.0,2.9260679437,0.0666574861,74137560.2,20.0,12000,2021-08-16 21:33:01.029432
10.0,564.5,36958.0,30796.4,0.0,2.9260306663,0.0666573800,74136681.0,20.0,12000,2021-08-16 21:33:01.066465
10.0,564.5,36955.1,30794.0,0.0,2.9259933888,0.0666572738,74135801.7,20.0,12000,2021-08-16 21:33:01.103501
10.0,564.5,36952.2,30791.6,0.0,2.9259561114,0.0666571677,74134922.5,20.0,12000,2021-08-16 21:33:01.141059
10.0,564.5,36949.3,30789.2,0.0,2.9259178265,0.0666570587,74134019.4,20.0,12000,2021-08-16 21:33:01.178210
10.0,564.4,36946.5,30786.8,0.0,2.9258805490,0.0666569526,74133068.9,20.0,12000,2021-08-16 21:33:01.219397
10.0,564.4,36879.3,30730.8,0.0,2.9257667018,0.0666566284,74130454.9,20.0,12000,2021-08-16 21:33:01.328670
10.0,564.4,36871.0,30726.2,0.0,2.9257294243,0.0666565194,74129551.9,20.0,12000,2021-08-16 21:33:01.368721
10.0,564.4,36863.6,30721.0,0.0,2.9213295890,0.0662932042,73938364.3,20.0,12000,2021-08-16 21:33:01.515395
10.0,562.5,36847.2,30707.3,0.0,2.9211943636,0.0662972698,73933463.3,20.0,12000,2021-08-16 21:33:01.816372
10.0,562.5,36802.1,30671.9,0.0,2.8984868421,0.0659112362,73722240.3,20.0,12000,2021-08-16 21:33:02.222214
